name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Trois-Rivières City Council & Mayor,QC,LOCAL,CA,14,4 years,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal,2021-11-07 05:00:00+00:00,All.,,False,False,46.3609516301423,-72.5831900702488,"Nov 07, 2021"
Tucson City Council,AZ,LOCAL,US,6,4 years,https://www.tucsonaz.gov/city-government,2021-11-02 05:00:00+00:00,"Wards 3, 5, 6",https://www.tucsonaz.gov/clerks/elections,False,False,32.1874969904522,-110.900003340263,"Nov 02, 2021"
Vancouver City Council,WA,LOCAL,US,7,4 years,https://www.cityofvancouver.us/citycouncil,2021-11-02 05:00:00+00:00,3 seats,https://www.clarkcountynv.gov/election/Pages/default.aspx,False,False,45.6351719510632,-122.597009437731,"Nov 02, 2021"
"Virginia House of Delegates, Governor, Lieutenant Governor, & Attorney General",VA,STATE,US,100,2 years,https://virginiageneralassembly.gov/index.php,2021-11-02 05:00:00+00:00,,,False,False,37.8151439305259,-77.8353671756458,"Nov 02, 2021"
Waterbury Board of Aldermen,CT,LOCAL,US,15,2 years,http://www.waterburyct.org/filestorage/9569/10451/BOA_2017-2019-Rev007.pdf,2021-11-02 05:00:00+00:00,,,False,False,41.5577849312554,-73.0341407704136,"Nov 02, 2021"
West Jordan City Council,UT,LOCAL,US,7,"2 years, 4 years",https://www.westjordan.utah.gov/mayor-and-city-council,2021-11-02 05:00:00+00:00,,,False,False,40.6045092302931,-111.992087891115,"Nov 02, 2021"
West Valley City Council,UT,LOCAL,US,7,4 years,https://www.wvc-ut.gov/15/City-Council,2021-11-02 05:00:00+00:00,"2 At-large, District 2, District 4",,False,False,40.6907221871085,-112.002556668255,"Nov 02, 2021"
Westminster City Council,CO,LOCAL,US,7,4 years,https://www.cityofwestminster.us/Government/CityCouncil,2021-11-02 05:00:00+00:00,Mayor + 3 council seats,,False,False,39.8836695983591,-105.06240786631,"Nov 02, 2021"
Wichita City Council,KS,LOCAL,US,7,4 years,https://www.wichita.gov/Council/Pages/default.aspx,2021-11-02 05:00:00+00:00,"Districts 1, 3, 6",https://www.sedgwickcounty.org/elections/,False,False,37.6906947074228,-97.3431702348633,"Nov 02, 2021"
Wichita Falls City Council,TX,LOCAL,US,7,2 years,https://www.wichitafallstx.gov/29/Mayor-and-City-Council,2021-11-02 05:00:00+00:00,,,False,False,33.8975558196748,-98.5302679519037,"Nov 02, 2021"
Wilmington City Council,NC,LOCAL,US,7,4 years (2 years for mayor),http://www.wilmingtonnc.gov/departments/city-council,2021-11-02 05:00:00+00:00,Mayor and 3 council seats,,False,False,34.2100015857209,-77.886077589905,"Nov 02, 2021"
Woodbridge Township Council,NJ,LOCAL,US,9,4 years,http://www.twp.woodbridge.nj.us/340/Council,2021-11-02 05:00:00+00:00,5 ward seats,,False,False,40.561930282394,-74.2942377488171,"Nov 02, 2021"
Worcester City Council,MA,LOCAL,US,11,2 years,http://www.worcesterma.gov/city-council,2021-11-02 05:00:00+00:00,,http://www.worcesterma.gov/elections,False,False,42.2676933771533,-71.8059829283626,"Nov 02, 2021"
Yonkers City Council,NY,LOCAL,US,7,4 years,http://www.yonkersny.gov/government/city-council,2021-11-02 05:00:00+00:00,"Council president, districts 2, 4, 6",,False,False,40.9418822029941,-73.8713340075294,"Nov 02, 2021"
