"id","sk","name_formal","state","gov_type","country_code","official_count","term_length","url","upcoming_election","ue_remarks","ue_url_1","special","runoff","ue_cicero_link"
2901,2727,"Gila County Board of Supervisors","AZ","LOCAL","US",3,"4 years","http://www.gilacountyaz.gov/government/board_of_supervisors/index.php","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14497/change/"
2905,2731,"Maricopa County Board of Supervisors","AZ","LOCAL","US",5,"4 years","http://www.maricopa.gov/BOS/","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14563/change/"
2906,2732,"Mohave County Board of Supervisors","AZ","LOCAL","US",5,"4 years","http://www.mohavecounty.us/ContentPage.aspx?id=188","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14591/change/"
2907,2733,"Navajo County Board of Supervisors","AZ","LOCAL","US",5,"4 years","http://ext.navajocountyaz.gov/bos/","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14602/change/"
2909,2736,"Santa Cruz County Board of Supervisors","AZ","LOCAL","US",3,"4 years","http://www.santacruzcountyaz.gov/169/Board-of-Supervisors","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14680/change/"
2910,2737,"Yavapai County Board of Supervisors","AZ","LOCAL","US",5,"4 years","http://www.yavapai.us/bos/","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/14747/change/"
2954,2848,"Greene County Commission","MO","LOCAL","US",3,"4 years","https://greenecountymo.gov/commission/","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16264/change/"
2955,2873,"Baton Rouge Mayor-President","LA","LOCAL","US",1,"4 years","http://brgov.com/dept/Mayor/","2020-11-08 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16619/change/"
3017,2854,"Lake County Board of Commissioners","IN","LOCAL","US",3,"4 years","https://www.lakecountyin.org/portal/media-type/html/group/commissioners/page/default","2020-11-03 00:00:00+00","","https://www.lakevotes.com/",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16175/change/"
3041,2886,"Richland County Council","SC","LOCAL","US",11,"4 years","http://www.richlandonline.com/Government/CountyCouncil.aspx","2020-11-03 00:00:00+00","","http://www.richlandcountysc.gov/Government/County-Council",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16426/change/"
3048,2879,"Montgomery County Council","MD","LOCAL","US",9,"4 years","http://www.montgomerycountymd.gov/council/","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16172/change/"
3061,432,"Richmond City Council","VA","LOCAL","US",9,"4 years","http://www.richmondgov.com/CityCouncil/index.aspx","2020-11-03 00:00:00+00","All Districts and the mayor are up for election.","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16382/change/"
3095,91,"Scottsdale City Council","AZ","LOCAL","US",7,"4 years","http://www.scottsdaleaz.gov/council","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16376/change/"
3107,836,"Huntington Beach City Council","CA","LOCAL","US",7,"4 years","http://www.huntingtonbeachca.gov/government/elected_officials/city_council/","2020-11-03 00:00:00+00","","https://www.huntingtonbeachca.gov/government/election_info/",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16126/change/"
3338,3321,"Hillsboro City Council","OR","LOCAL","US",7,"4 years","https://www.hillsboro-oregon.gov/your-city-government/the-mayor-and-city-council","2020-11-03 00:00:00+00","Position B in each ward (3)","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16359/change/"
3346,3316,"Rialto City Council","CA","LOCAL","US",5,"4 years","http://yourrialto.com/city-hall/city-council/","2020-11-03 00:00:00+00","","http://yourrialto.com/city-hall/departments/city-clerk/elections/",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16427/change/"
3361,3308,"Wichita Falls City Council","TX","LOCAL","US",7,"2 years","http://www.wichitafallstx.gov/29/Mayor-and-City-Council","2020-11-03 00:00:00+00","","",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16057/change/"
3371,3084,"Irvine City Council","CA","LOCAL","US",5,"Mayor: 2 years Council members: 4 years","http://www.cityofirvine.org/city-council","2020-11-03 00:00:00+00","","http://www.cityofirvine.org/government/city-clerk/municipal-election-information",False,False,"https://cicero.azavea.com/v3.1/admin/webservice/electionevent/16428/change/"
